Estimated_incidence_of_all_forms_of_tuberculosis,Entity,Code,Year,Deaths_Tuberculosis_Sex_Both_Age_70_years_Number,Deaths_Tuberculosis_Sex_Both_Age_50_69_years_Number,Deaths_Tuberculosis_Sex_Both_Age_15_49_years_Number,Deaths_Tuberculosis_Sex_Both_Age_5_14_years_Number,Deaths_Tuberculosis_Sex_Both_Age_Under_5_Number,Indicator_Treatment_success_rate_new_TB_cases,Indicator_Treatment_success_rate_for_patients_treated_for_MDR_TB,Indicator_Treatment_success_rate_XDR_TB_cases,Case_detection_rate_all_forms
3.2,United States,USA,2018,543,314,95,1,3,83,69,100,87
3.2,United States,USA,2019,564,317,93,1,2,80,69,100,87
3.2,United States,USA,2019,564,317,93,1,2,83,69,100,87
3.2,United States,USA,2019,564,317,93,1,2,83,79,100,87
3.3,United States,USA,1990,1208,640,405,6,13,80,69,100,87
3.3,United States,USA,1990,1208,640,405,6,13,83,69,100,87
3.3,United States,USA,1990,1208,640,405,6,13,83,79,100,87
3.3,United States,USA,1991,1168,599,387,6,12,85,78,0,87
3.3,United States,USA,1992,1124,554,361,5,11,80,79,60,87
3.3,United States,USA,1993,1106,525,340,5,10,77,77,100,87
3.3,United States,USA,1993,1106,525,340,5,10,80,79,60,87
3.3,United States,USA,1994,1064,487,312,5,9,80,69,100,87
3.3,United States,USA,1994,1064,487,312,5,9,83,69,100,87
3.3,United States,USA,1994,1064,487,312,5,9,83,79,100,87
3.3,United States,USA,1995,1029,454,286,5,8,80,69,100,87
3.3,United States,USA,1995,1029,454,286,5,8,83,69,100,87
3.3,United States,USA,1995,1029,454,286,5,8,83,79,100,87
3.3,United States,USA,1996,986,419,262,4,7,85,78,0,87
3.3,United States,USA,1997,941,392,240,4,7,85,78,0,87
3.3,United States,USA,1999,878,362,200,3,6,66,70,0,87
3.3,United States,USA,1999,878,362,200,3,6,80,79,60,87
3.3,United States,USA,2000,799,333,179,3,5,66,70,0,87
3.3,United States,USA,2000,799,333,179,3,5,80,79,60,87
3.3,United States,USA,2001,748,323,170,3,5,80,69,100,87
3.3,United States,USA,2001,748,323,170,3,5,83,69,100,87
3.3,United States,USA,2001,748,323,170,3,5,83,79,100,87
3.3,United States,USA,2002,705,314,164,3,5,80,69,100,87
3.3,United States,USA,2002,705,314,164,3,5,83,79,100,87
3.3,United States,USA,2003,655,304,156,2,4,77,77,100,87
3.3,United States,USA,2003,655,304,156,2,4,80,79,60,87
3.3,United States,USA,2004,611,294,145,2,4,66,70,0,87
3.3,United States,USA,2004,611,294,145,2,4,80,69,100,87
3.3,United States,USA,2004,611,294,145,2,4,83,69,100,87
3.3,United States,USA,2005,587,294,140,2,4,80,69,100,87
3.3,United States,USA,2005,587,294,140,2,4,83,69,100,87
3.3,United States,USA,2005,587,294,140,2,4,83,79,100,87
3.3,United States,USA,2006,561,293,135,2,4,85,78,0,87
3.3,United States,USA,2007,536,286,125,2,4,66,70,0,87
3.3,United States,USA,2007,536,286,125,2,4,80,79,60,87
3.3,United States,USA,2008,518,285,117,2,4,85,78,0,87
3.3,United States,USA,2009,496,280,110,2,3,66,70,0,87
3.3,United States,USA,2009,496,280,110,2,3,80,79,60,87
3.3,United States,USA,2010,483,278,102,1,3,77,77,100,87
3.3,United States,USA,2010,483,278,102,1,3,80,79,60,87
3.3,United States,USA,2011,479,280,98,1,3,66,70,0,87
3.3,United States,USA,2011,479,280,98,1,3,83,69,100,87
3.3,United States,USA,2012,477,283,93,1,3,83,79,100,87
3.3,United States,USA,2012,477,283,93,1,3,85,78,0,87
3.3,United States,USA,2013,485,288,93,1,3,66,70,0,87
3.3,United States,USA,2013,485,288,93,1,3,83,69,100,87
3.3,United States,USA,2014,490,294,91,1,3,83,79,100,87
3.3,United States,USA,2014,490,294,91,1,3,85,78,0,87
3.3,United States,USA,2015,501,301,94,1,3,77,77,100,87
3.3,United States,USA,2015,501,301,94,1,3,80,79,60,87
3.3,United States,USA,2016,512,312,99,1,3,77,77,100,87
3.3,United States,USA,2016,512,312,99,1,3,80,79,60,87
3.3,United States,USA,2017,518,310,97,1,3,85,78,0,87
3.3,United States,USA,2018,543,314,95,1,3,80,69,100,87
3.3,United States,USA,2018,543,314,95,1,3,83,69,100,87
3.3,United States,USA,2018,543,314,95,1,3,83,79,100,87
3.3,United States,USA,2019,564,317,93,1,2,83,79,100,87
3.3,United States,USA,2019,564,317,93,1,2,85,78,0,87
3.5,Israel,ISR,1990,33,11,6,0,0,84,33,0,87
3.5,Israel,ISR,1991,36,11,6,0,0,79,67,100,87
3.5,Israel,ISR,1991,36,11,6,0,0,84,33,0,87
3.5,Israel,ISR,1991,36,11,6,0,0,89,75,50,87
3.5,Israel,ISR,1992,40,12,7,0,1,84,33,0,87
3.5,Israel,ISR,1993,44,13,7,0,1,84,33,0,87
3.5,Israel,ISR,1994,49,13,8,0,1,78,64,50,87
3.5,Israel,ISR,1994,49,13,8,0,1,83,80,100,87
3.5,Israel,ISR,1994,49,13,8,0,1,84,57,0,87
3.5,Israel,ISR,1994,49,13,8,0,1,88,91,100,87
3.5,Israel,ISR,1995,53,14,8,0,0,81,92,100,87
3.5,Israel,ISR,1995,53,14,8,0,0,84,57,0,87
3.5,Israel,ISR,1996,55,14,8,0,0,87,71,0,87
3.5,Israel,ISR,1997,56,14,9,0,0,79,67,100,87
3.5,Israel,ISR,1997,56,14,9,0,0,84,33,0,87
3.5,Israel,ISR,1998,54,14,9,0,0,79,67,100,87
3.5,Israel,ISR,1998,54,14,9,0,0,84,33,0,87
3.5,Israel,ISR,1999,52,13,8,0,0,78,64,50,87
3.5,Israel,ISR,1999,52,13,8,0,0,83,80,100,87
3.5,Israel,ISR,1999,52,13,8,0,0,84,57,0,87
3.5,Israel,ISR,1999,52,13,8,0,0,88,91,100,87
3.5,Israel,ISR,2000,49,12,8,0,0,79,67,100,87
3.5,Israel,ISR,2000,49,12,8,0,0,89,75,50,87
3.5,Israel,ISR,2001,44,11,7,0,0,87,71,0,87
3.5,Israel,ISR,2002,41,10,7,0,0,79,67,100,87
3.5,Israel,ISR,2002,41,10,7,0,0,84,33,0,87
3.5,Israel,ISR,2003,38,9,6,0,0,78,64,50,87
3.5,Israel,ISR,2003,38,9,6,0,0,83,80,100,87
3.5,Israel,ISR,2003,38,9,6,0,0,84,57,0,87
3.5,Israel,ISR,2003,38,9,6,0,0,88,91,100,87
3.5,Israel,ISR,2004,34,8,5,0,0,78,64,50,87
3.5,Israel,ISR,2004,34,8,5,0,0,89,75,50,87
3.5,Israel,ISR,2005,32,8,5,0,0,84,33,0,87
3.5,Israel,ISR,2006,30,7,4,0,0,81,92,100,87
3.5,Israel,ISR,2006,30,7,4,0,0,83,80,100,87
3.5,Israel,ISR,2006,30,7,4,0,0,84,57,0,87
3.5,Israel,ISR,2006,30,7,4,0,0,88,91,100,87
3.5,Israel,ISR,2007,28,7,4,0,0,81,92,100,87
3.5,Israel,ISR,2007,28,7,4,0,0,83,80,100,87
3.5,Israel,ISR,2007,28,7,4,0,0,84,57,0,87
3.5,Israel,ISR,2007,28,7,4,0,0,88,91,100,87
3.5,Israel,ISR,2008,26,6,3,0,0,87,71,0,87
3.5,Israel,ISR,2009,23,5,3,0,0,87,71,0,87
3.5,Israel,ISR,2010,22,5,3,0,0,78,64,50,87
3.5,Israel,ISR,2010,22,5,3,0,0,83,80,100,87
3.5,Israel,ISR,2010,22,5,3,0,0,84,57,0,87
3.5,Israel,ISR,2010,22,5,3,0,0,88,91,100,87
3.5,Israel,ISR,2011,20,5,3,0,0,81,92,100,87
3.5,Israel,ISR,2011,20,5,3,0,0,83,80,100,87
3.5,Israel,ISR,2011,20,5,3,0,0,84,57,0,87
3.5,Israel,ISR,2011,20,5,3,0,0,88,91,100,87
3.5,Israel,ISR,2012,19,5,2,0,0,79,67,100,87
3.5,Israel,ISR,2012,19,5,2,0,0,89,75,50,87
3.5,Israel,ISR,2013,18,5,2,0,0,78,64,50,87
3.5,Israel,ISR,2013,18,5,2,0,0,79,67,100,87
3.5,Israel,ISR,2013,18,5,2,0,0,89,75,50,87
3.5,Israel,ISR,2014,17,4,2,0,0,84,33,0,87
3.5,Israel,ISR,2015,17,5,2,0,0,81,92,100,87
3.5,Israel,ISR,2015,17,5,2,0,0,87,71,0,87
3.5,Israel,ISR,2016,16,4,2,0,0,81,92,100,87
3.5,Israel,ISR,2016,16,4,2,0,0,84,57,0,87
3.5,Israel,ISR,2017,17,5,2,0,0,78,64,50,87
3.5,Israel,ISR,2017,17,5,2,0,0,83,80,100,87
3.5,Israel,ISR,2017,17,5,2,0,0,84,57,0,87
3.5,Israel,ISR,2017,17,5,2,0,0,88,91,100,87
3.5,Israel,ISR,2018,18,5,2,0,0,79,67,100,87
3.5,Israel,ISR,2018,18,5,2,0,0,84,33,0,87
3.5,Israel,ISR,2018,18,5,2,0,0,89,75,50,87
3.5,Israel,ISR,2019,19,5,2,0,0,81,92,100,87
3.5,Israel,ISR,2019,19,5,2,0,0,83,80,100,87
3.5,Israel,ISR,2019,19,5,2,0,0,84,57,0,87
3.5,Israel,ISR,2019,19,5,2,0,0,88,91,100,87
3.5,Sweden,SWE,1990,167,25,4,0,0,83,83,100,87
3.5,Sweden,SWE,1990,167,25,4,0,0,90,75,50,87
3.5,Sweden,SWE,1991,168,24,4,0,0,90,75,50,87
3.5,Sweden,SWE,1991,168,24,4,0,0,91,100,50,87
3.5,Sweden,SWE,1992,167,22,4,0,0,90,75,50,87
3.5,Sweden,SWE,1992,167,22,4,0,0,91,100,50,87
3.5,Sweden,SWE,1993,164,21,4,0,0,83,83,100,87
3.5,Sweden,SWE,1993,164,21,4,0,0,88,94,0,87
3.5,Sweden,SWE,1995,156,17,3,0,0,88,94,0,87
3.5,Sweden,SWE,1995,156,17,3,0,0,90,91,100,87
3.5,Sweden,SWE,1997,152,15,3,0,0,91,100,50,87
3.5,Sweden,SWE,2000,140,13,2,0,0,83,83,100,87
3.5,Sweden,SWE,2002,140,12,2,0,0,88,94,0,87
3.5,Sweden,SWE,2003,128,12,2,0,0,91,100,50,87
3.5,Sweden,SWE,2004,121,11,2,0,0,88,94,0,87
3.5,Sweden,SWE,2006,118,11,2,0,0,83,83,100,87
3.5,Sweden,SWE,2006,118,11,2,0,0,90,75,50,87
3.5,Sweden,SWE,2006,118,11,2,0,0,91,100,50,87
3.5,Sweden,SWE,2008,107,10,2,0,0,91,100,50,87
3.5,Sweden,SWE,2010,89,9,1,0,0,90,91,100,87
3.5,Sweden,SWE,2011,86,8,1,0,0,90,75,50,87
3.5,Sweden,SWE,2011,86,8,1,0,0,91,100,50,87
3.5,Sweden,SWE,2012,82,8,1,0,0,90,91,100,87
3.5,Sweden,SWE,2013,78,8,1,0,0,90,91,100,87
3.5,Sweden,SWE,2014,72,7,1,0,0,88,94,0,87
3.5,Sweden,SWE,2014,72,7,1,0,0,90,91,100,87
3.5,Sweden,SWE,2016,69,7,1,0,0,83,83,100,87
3.5,Sweden,SWE,2016,69,7,1,0,0,90,75,50,87
3.5,Sweden,SWE,2017,68,7,1,0,0,88,94,0,87
3.5,Sweden,SWE,2017,68,7,1,0,0,90,91,100,87
3.5,Sweden,SWE,2018,71,7,1,0,0,83,83,100,87
3.5,Sweden,SWE,2018,71,7,1,0,0,88,94,0,87
3.5,Sweden,SWE,2019,72,7,1,0,0,91,100,50,87
3.6,United States,USA,1990,1208,640,405,6,13,77,77,100,87
3.6,United States,USA,1990,1208,640,405,6,13,80,79,60,87
3.6,United States,USA,1991,1168,599,387,6,12,66,70,0,87
3.6,United States,USA,1991,1168,599,387,6,12,83,69,100,87
3.6,United States,USA,1992,1124,554,361,5,11,85,78,0,87
3.6,United States,USA,1993,1106,525,340,5,10,85,78,0,87
3.6,United States,USA,1994,1064,487,312,5,9,77,77,100,87
3.6,United States,USA,1994,1064,487,312,5,9,80,79,60,87
3.6,United States,USA,1995,1029,454,286,5,8,77,77,100,87
3.6,United States,USA,1995,1029,454,286,5,8,80,79,60,87
3.6,United States,USA,1996,986,419,262,4,7,66,70,0,87
3.6,United States,USA,1996,986,419,262,4,7,80,79,60,87
3.6,United States,USA,1997,941,392,240,4,7,66,70,0,87
3.6,United States,USA,1997,941,392,240,4,7,80,69,100,87
3.6,United States,USA,1997,941,392,240,4,7,83,69,100,87
3.6,United States,USA,1998,906,375,220,4,6,80,69,100,87
3.6,United States,USA,1998,906,375,220,4,6,83,69,100,87
3.6,United States,USA,1998,906,375,220,4,6,83,79,100,87
3.6,United States,USA,1999,878,362,200,3,6,85,78,0,87
3.6,United States,USA,2000,799,333,179,3,5,85,78,0,87
3.6,United States,USA,2001,748,323,170,3,5,77,77,100,87
3.6,United States,USA,2001,748,323,170,3,5,80,79,60,87
3.6,United States,USA,2002,705,314,164,3,5,80,79,60,87
3.6,United States,USA,2003,655,304,156,2,4,85,78,0,87
3.6,United States,USA,2004,611,294,145,2,4,77,77,100,87
3.6,United States,USA,2005,587,294,140,2,4,77,77,100,87
3.6,United States,USA,2005,587,294,140,2,4,80,79,60,87
3.6,United States,USA,2006,561,293,135,2,4,66,70,0,87
3.6,United States,USA,2006,561,293,135,2,4,83,69,100,87
3.6,United States,USA,2007,536,286,125,2,4,85,78,0,87
3.6,United States,USA,2008,518,285,117,2,4,66,70,0,87
3.6,United States,USA,2008,518,285,117,2,4,80,79,60,87
3.6,United States,USA,2010,483,278,102,1,3,83,79,100,87
3.6,United States,USA,2010,483,278,102,1,3,85,78,0,87
3.6,United States,USA,2011,479,280,98,1,3,77,77,100,87
3.6,United States,USA,2012,477,283,93,1,3,66,70,0,87
3.6,United States,USA,2012,477,283,93,1,3,80,79,60,87
3.6,United States,USA,2013,485,288,93,1,3,77,77,100,87
3.6,United States,USA,2014,490,294,91,1,3,66,70,0,87
3.6,United States,USA,2014,490,294,91,1,3,80,79,60,87
3.6,United States,USA,2015,501,301,94,1,3,85,78,0,87
3.6,United States,USA,2016,512,312,99,1,3,83,79,100,87
3.6,United States,USA,2016,512,312,99,1,3,85,78,0,87
3.6,United States,USA,2017,518,310,97,1,3,66,70,0,87
3.6,United States,USA,2017,518,310,97,1,3,80,69,100,87
3.6,United States,USA,2017,518,310,97,1,3,83,69,100,87
3.6,United States,USA,2017,518,310,97,1,3,83,79,100,87
3.6,United States,USA,2018,543,314,95,1,3,77,77,100,87
3.6,United States,USA,2018,543,314,95,1,3,80,79,60,87
3.6,United States,USA,2019,564,317,93,1,2,66,70,0,87
3.6,United States,USA,2019,564,317,93,1,2,80,79,60,87
3.7,Hungary,HUN,1991,300,210,52,0,0,70,33,50,87
3.7,Hungary,HUN,1992,290,205,53,0,0,67,44,50,87
3.7,Hungary,HUN,1994,251,174,47,0,0,70,33,50,87
3.7,Hungary,HUN,1996,212,134,35,0,0,66,60,0,87
3.7,Hungary,HUN,1996,212,134,35,0,0,67,44,50,87
3.7,Hungary,HUN,1996,212,134,35,0,0,71,38,43,87
3.7,Hungary,HUN,1997,197,120,32,0,0,67,44,50,87
3.7,Hungary,HUN,1998,184,112,30,0,0,70,33,50,87
3.7,Hungary,HUN,1998,184,112,30,0,0,74,40,0,87
3.7,Hungary,HUN,1999,174,102,28,0,0,74,40,0,87
3.7,Hungary,HUN,2000,151,85,23,0,0,67,44,50,87
3.7,Hungary,HUN,2002,127,67,17,0,0,71,38,43,87
3.7,Hungary,HUN,2002,127,67,17,0,0,74,40,0,87
3.7,Hungary,HUN,2003,116,63,15,0,0,74,40,0,87
3.7,Hungary,HUN,2004,105,58,13,0,0,66,60,0,87
3.7,Hungary,HUN,2004,105,58,13,0,0,67,44,50,87
3.7,Hungary,HUN,2005,95,55,12,0,0,70,33,50,87
3.7,Hungary,HUN,2005,95,55,12,0,0,74,40,0,87
3.7,Hungary,HUN,2006,81,49,10,0,0,70,33,50,87
3.7,Hungary,HUN,2007,77,47,9,0,0,66,60,0,87
3.7,Hungary,HUN,2007,77,47,9,0,0,71,38,43,87
3.7,Hungary,HUN,2008,69,42,7,0,0,67,44,50,87
3.7,Hungary,HUN,2009,63,38,6,0,0,66,60,0,87
3.7,Hungary,HUN,2009,63,38,6,0,0,67,44,50,87
3.7,Hungary,HUN,2011,51,30,4,0,0,70,33,50,87
3.7,Hungary,HUN,2012,50,29,4,0,0,71,38,43,87
3.7,Hungary,HUN,2012,50,29,4,0,0,74,40,0,87
3.7,Hungary,HUN,2013,46,26,4,0,0,66,60,0,87
3.7,Hungary,HUN,2013,46,26,4,0,0,71,38,43,87
3.7,Hungary,HUN,2015,43,25,3,0,0,67,44,50,87
3.7,Hungary,HUN,2016,37,22,3,0,0,66,60,0,87
3.7,Hungary,HUN,2016,37,22,3,0,0,67,44,50,87
3.7,Hungary,HUN,2017,36,21,3,0,0,66,60,0,87
3.7,Hungary,HUN,2017,36,21,3,0,0,67,44,50,87
3.7,Hungary,HUN,2018,38,22,3,0,0,66,60,0,87
3.7,Hungary,HUN,2018,38,22,3,0,0,71,38,43,87
3.7,Hungary,HUN,2019,38,20,3,0,0,70,33,50,87
3.7,Hungary,HUN,2019,38,20,3,0,0,74,40,0,87
3.8,Sweden,SWE,1990,167,25,4,0,0,90,91,100,87
3.8,Sweden,SWE,1991,168,24,4,0,0,90,91,100,87
3.8,Sweden,SWE,1992,167,22,4,0,0,90,91,100,87
3.8,Sweden,SWE,1994,155,18,3,0,0,88,94,0,87
3.8,Sweden,SWE,1995,156,17,3,0,0,90,75,50,87
3.8,Sweden,SWE,1995,156,17,3,0,0,91,100,50,87
3.8,Sweden,SWE,1996,151,16,3,0,0,83,83,100,87
3.8,Sweden,SWE,1996,151,16,3,0,0,88,94,0,87
3.8,Sweden,SWE,1997,152,15,3,0,0,88,94,0,87
3.8,Sweden,SWE,1998,150,15,3,0,0,88,94,0,87
3.8,Sweden,SWE,1999,149,14,2,0,0,88,94,0,87
3.8,Sweden,SWE,2001,140,13,2,0,0,83,83,100,87
3.8,Sweden,SWE,2001,140,13,2,0,0,88,94,0,87
3.8,Sweden,SWE,2002,140,12,2,0,0,91,100,50,87
3.8,Sweden,SWE,2003,128,12,2,0,0,88,94,0,87
3.8,Sweden,SWE,2003,128,12,2,0,0,90,91,100,87
3.8,Sweden,SWE,2004,121,11,2,0,0,91,100,50,87
3.8,Sweden,SWE,2005,119,11,2,0,0,83,83,100,87
3.8,Sweden,SWE,2006,118,11,2,0,0,90,91,100,87
3.8,Sweden,SWE,2007,113,10,2,0,0,88,94,0,87
3.8,Sweden,SWE,2008,107,10,2,0,0,88,94,0,87
3.8,Sweden,SWE,2008,107,10,2,0,0,90,91,100,87
3.8,Sweden,SWE,2009,98,9,1,0,0,83,83,100,87
3.8,Sweden,SWE,2009,98,9,1,0,0,88,94,0,87
3.8,Sweden,SWE,2010,89,9,1,0,0,83,83,100,87
3.8,Sweden,SWE,2010,89,9,1,0,0,90,75,50,87
3.8,Sweden,SWE,2011,86,8,1,0,0,90,91,100,87
3.8,Sweden,SWE,2012,82,8,1,0,0,83,83,100,87
3.8,Sweden,SWE,2012,82,8,1,0,0,90,75,50,87
3.8,Sweden,SWE,2013,78,8,1,0,0,83,83,100,87
3.8,Sweden,SWE,2013,78,8,1,0,0,90,75,50,87
3.8,Sweden,SWE,2014,72,7,1,0,0,91,100,50,87
3.8,Sweden,SWE,2015,70,7,1,0,0,83,83,100,87
3.8,Sweden,SWE,2015,70,7,1,0,0,88,94,0,87
3.8,Sweden,SWE,2017,68,7,1,0,0,91,100,50,87
3.8,Sweden,SWE,2019,72,7,1,0,0,88,94,0,87
3.8,Sweden,SWE,2019,72,7,1,0,0,90,91,100,87
3.9,Czechia,CZE,1990,102,75,30,0,0,73,44,100,87
3.9,Czechia,CZE,1991,92,65,28,0,0,69,33,50,87
3.9,Czechia,CZE,1992,86,57,27,0,0,67,36,0,87
3.9,Czechia,CZE,1992,86,57,27,0,0,70,55,100,87
3.9,Czechia,CZE,1993,76,47,22,0,0,69,33,50,87
3.9,Czechia,CZE,1994,68,42,20,0,0,73,44,100,87
3.9,Czechia,CZE,1995,62,39,18,0,0,69,33,50,87
3.9,Czechia,CZE,1996,57,38,17,0,0,69,33,50,87
3.9,Czechia,CZE,1997,56,38,17,0,0,73,44,100,87
3.9,Czechia,CZE,1998,54,37,16,0,0,67,36,0,87
3.9,Czechia,CZE,1998,54,37,16,0,0,70,55,100,87
3.9,Czechia,CZE,1999,55,37,16,0,0,70,0,0,87
3.9,Czechia,CZE,2000,53,37,15,0,0,67,36,0,87
3.9,Czechia,CZE,2000,53,37,15,0,0,70,55,100,87
3.9,Czechia,CZE,2001,51,36,13,0,0,67,36,0,87
3.9,Czechia,CZE,2001,51,36,13,0,0,70,55,100,87
3.9,Czechia,CZE,2002,47,33,12,0,0,73,44,100,87
3.9,Czechia,CZE,2002,47,33,12,0,0,75,33,0,87
3.9,Czechia,CZE,2003,46,32,11,0,0,69,33,50,87
3.9,Czechia,CZE,2004,42,29,10,0,0,70,0,0,87
3.9,Czechia,CZE,2005,40,28,9,0,0,67,36,0,87
3.9,Czechia,CZE,2006,37,26,8,0,0,69,33,50,87
3.9,Czechia,CZE,2007,35,26,8,0,0,69,33,50,87
3.9,Czechia,CZE,2008,33,24,7,0,0,67,36,0,87
3.9,Czechia,CZE,2008,33,24,7,0,0,70,55,100,87
3.9,Czechia,CZE,2009,31,23,7,0,0,73,44,100,87
3.9,Czechia,CZE,2009,31,23,7,0,0,75,33,0,87
3.9,Czechia,CZE,2010,29,22,6,0,0,69,33,50,87
3.9,Czechia,CZE,2010,29,22,6,0,0,73,44,100,87
3.9,Czechia,CZE,2011,30,22,6,0,0,73,44,100,87
3.9,Czechia,CZE,2011,30,22,6,0,0,75,33,0,87
3.9,Czechia,CZE,2012,29,20,6,0,0,73,44,100,87
3.9,Czechia,CZE,2012,29,20,6,0,0,75,33,0,87
3.9,Czechia,CZE,2013,31,21,6,0,0,69,33,50,87
3.9,Czechia,CZE,2014,30,19,6,0,0,69,33,50,87
3.9,Czechia,CZE,2015,31,20,6,0,0,70,0,0,87
3.9,Czechia,CZE,2016,30,19,5,0,0,67,36,0,87
3.9,Czechia,CZE,2016,30,19,5,0,0,70,55,100,87
3.9,Czechia,CZE,2017,30,18,5,0,0,70,0,0,87
3.9,Czechia,CZE,2017,30,18,5,0,0,75,33,0,87
3.9,Czechia,CZE,2018,31,18,5,0,0,73,44,100,87
3.9,Czechia,CZE,2019,32,18,5,0,0,70,0,0,87
3.9,Sweden,SWE,1993,164,21,4,0,0,90,75,50,87
3.9,Sweden,SWE,1993,164,21,4,0,0,91,100,50,87
3.9,Sweden,SWE,1994,155,18,3,0,0,90,91,100,87
3.9,Sweden,SWE,1995,156,17,3,0,0,83,83,100,87
3.9,Sweden,SWE,1995,156,17,3,0,0,90,75,50,87
3.9,Sweden,SWE,1996,151,16,3,0,0,88,94,0,87
